Wilson Betemit*-0.5*2600*3B
Jesus Guzman*1.3*2600*OF
Kevin Frandsen*1*2600*2B
Dee Gordon*1.6*2500*SS
James Darnell*0*2500*3B
Delmon Young*1.6*2500*OF
Hector Gimenez*1.4*2500*C
Jaff Decker*0.7*2500*OF
Gordon Beckham*1.8*2500*2B
Logan Forsythe*1.5*2500*2B
Chris Denorfia*1.3*2500*OF
Ian Stewart*0*2500*3B
Peter Bourjos*1.8*2500*OF
Brennan Boesch*1.5*2500*OF
Juan Francisco*1.8*2500*1B
Paul Konerko*1.8*2500*1B
Yuniesky Betancourt*1.2*2500*SS
David DeJesus*1.8*2500*OF
Hank Conger*1.4*2500*C
Quintin Berry*1.2*2500*OF
Jeff Bianchi*0.9*2500*SS
Jimmy Rollins*1.8*2500*SS
Michael Young*1.8*2500*3B
David Ross*1.5*2400*C
Chris Gimenez*0.9*2400*C
Melky Mesa*1.8*2400*OF
Ichiro Suzuki*1.7*2400*OF
Andrew Romine*0.6*2400*SS
Adron Chambers*0.5*2400*OF
Conor Gillaspie*1.5*2400*3B
Michael Bourn*2.3*2400*OF
Welington Castillo*1.8*2400*C
Darnell McDonald*0.6*2400*OF
Dave Sappelt*0.8*2400*OF
Matt Carson*1*2400*OF
John Hester*0*2400*C
Shane Robinson*1*2400*OF
Pete Orr*0.4*2400*2B
Drew Butera*-0.1*2400*C
Jonathan Schoop*0*2400*SS
J.C. Boscan*-1*2400*C
Pete Kozma*1.1*2400*SS
Brad Hawpe*0.5*2400*OF
Bryan Anderson*0.1*2400*C
Angel Sanchez*-0.5*2400*SS
Mike Nickeas*33.5*2400*C
Skip Schumaker*1.2*2400*2B
Jordy Mercer*1.6*2400*SS
Julio Borbon*0.7*2400*OF
Felix Pie*0.5*2400*OF
Freddy Galvis*1.4*2400*2B
Zoilo Almonte*1.6*2400*OF
Steve Clevenger*-4.6*2400*C
Elian Herrera*0.2*2300*2B
Tony Abreu*1.1*2300*2B
Nick Noonan*0.4*2300*3B
Chris Snyder*0.4*2300*C
Gaby Sanchez*1.3*2300*1B
Juan Perez*0.7*2300*OF
Andy LaRoche*-1*2300*3B
Juan Diaz*0*2300*3B
Joaquin Arias*0.8*2300*2B
Jose Tabata*1.5*2300*OF
Garrett Jones*1.6*2300*1B
Omir Santos*-1.8*2300*C
Luis Jimenez*1.1*2300*3B
Chris Stewart*1.1*2300*C
Jeff Keppinger*1.2*2300*3B
Brent Morel*0.9*2300*3B
Blake Tekotte*0.9*2300*OF
Jason Giambi*1.6*2300*1B
Howie Kendrick*2.3*2300*2B
Lonnie Chisenhall*1.5*2300*3B
Scott Van Slyke*1.9*2300*OF
Jason Kubel*1.2*2300*OF
Luis Exposito*0*2300*C
Munenori Kawasaki*1.4*2300*SS
Alex Castellanos*0.7*2300*OF
Ryan Jackson*-0.3*2300*SS
Shelley Duncan*1.3*2300*OF
Sam Fuld*0.8*2300*OF
Jose Molina*1.1*2200*C
Cody Ransom*1.6*2200*SS
Ben Francisco*0.4*2200*OF
Brent Lillibridge*0.3*2200*3B
Drew Stubbs*1.7*2200*OF
Gregor Blanco*1.6*2200*OF
Roger Bernadina*0.7*2200*OF
Erik Kratz*1.5*2200*C
Josh Phegley*1.2*2200*C
Mark Kotsay*0.4*2200*1B
Sean Rodriguez*1*2200*SS
Mike Morse*1.7*2200*OF
Cole Gillespie*0.7*2200*OF
John Mayberry*1.4*2200*OF
Mark Ellis*1.7*2200*2B
Thomas Field*0.3*2200*3B
Martin Maldonado*1*2200*C
Scott Cousins*0.1*2200*OF
Alberto Gonzalez*0.8*2200*3B
Rene Rivera*0.7*2200*C
Guillermo Quiroz*0.6*2200*C
Starlin Castro*1.6*2200*SS
Alex Liddi*-0.1*2200*3B
Kelly Shoppach*1.4*2200*C
Josh Thole*0.8*2200*C
Yamaico Navarro*1.5*2200*2B
Robert Andino*0.6*2200*2B
Alex Gonzalez*0.7*2200*SS
Ryan Roberts*1.2*2200*2B
Rob Johnson*0.4*2200*C
Tony Cruz*0.9*2200*C
Tim Federowicz*1.2*2200*C
Ty Wigginton*0.4*2200*3B
Collin Cowgill*0.9*2200*OF
John Buck*2*2200*C
Francisco Peguero*0.4*2200*OF
Travis Snider*1.1*2200*OF
Marco Scutaro*1.9*2200*2B
Jordan Danks*1*2200*OF
John McDonald*0.3*2200*3B
Brandon Crawford*1.7*2200*SS
Taylor Teagarden*0.6*2200*C
Grant Green*1.4*2200*SS
Steve Lerud*-0.2*2200*C
David Adams*1*2200*3B
Laynce Nix*0.4*2200*OF
Daniel Descalso*1.4*2200*2B
Travis Ishikawa*0*2200*1B
Darwin Barney*1.5*2200*2B
Kolten Wong*0.4*2200*2B
Brandon Snyder*0.9*2200*3B
Justin Sellers*0.7*2200*SS
Clint Barmes*1*2200*SS
J.P. Arencibia*1.6*2200*C
Jeff Francoeur*1*2200*OF
Alexi Amarista*1.1*2200*2B
Michael Martinez*0.4*2200*3B
Blake Lalli*0*2200*C
Brock Holt*1.3*2200*3B
Jerry Hairston Jr.*0.9*2200*2B
Mark DeRosa*1.5*2200*OF
John Baker*0.3*2200*C
Austin Romine*0.8*2200*C
Brandon Inge*0.4*2200*3B
DeWayne Wise*0.7*2200*OF
Luis Cruz*0.6*2200*SS
